,val_previsaocarga
0,"7967,228"
1,"7905,4097"
2,"7832,3867"
3,"7759,415"
4,"7700,1763"
5,"7666,761"
6,"7576,7744"
7,"7446,4253"
8,"7340,811"
9,"7284,715"
10,"7220,768"
11,"7197,549"
12,"7077,3154"
13,"6904,7715"
14,"6775,142"
15,"6724,262"
16,"6762,6943"
17,"6899,4023"
18,"7000,757"
19,"7065,3184"
20,"7109,856"
21,"7147,755"
22,"7138,985"
23,"7146,5728"
24,"7106,252"
25,"7065,5244"
26,"7055,641"
27,"7099,485"
28,"7145,1816"
29,"7232,743"
30,"7273,1978"
31,"7321,891"
32,"7294,5034"
33,"7209,1543"
34,"7111,7056"
35,"7015,459"
36,"6997,95"
37,"7099,8267"
38,"7238,553"
39,"7417,621"
40,"7481,3945"
41,"7488,427"
42,"7493,328"
43,"7505,685"
44,"7542,772"
45,"7607,569"
46,"7606,7876"
47,"7643,707"
48,"7570,116"
49,"7446,843"
50,"7378,409"
51,"7344,3267"
52,"7292,271"
53,"7251,8174"
54,"7198,9976"
55,"7115,746"
56,"7069,949"
57,"6988,5815"
58,"6932,3633"
59,"6908,6187"
60,"6809,2783"
61,"6643,0117"
62,"6487,603"
63,"6433,3564"
64,"6356,806"
65,"6363,6235"
66,"6351,036"
67,"6340,767"
68,"6345,3135"
69,"6372,7856"
70,"6394,025"
71,"6463,389"
72,"6489,8184"
73,"6497,119"
74,"6530,1616"
75,"6519,2324"
76,"6541,648"
77,"6585,299"
78,"6634,835"
79,"6651,448"
80,"6671,939"
81,"6702,209"
82,"6682,7817"
83,"6616,394"
84,"6641,342"
85,"6805,4297"
86,"6957,697"
87,"7162,7544"
88,"7277,2734"
89,"7286,1523"
90,"7336,3135"
91,"7318,9"
92,"7374,5654"
93,"7443,238"
94,"7500,1187"
95,"7526,2666"
96,"7498,0205"
97,"7408,021"
98,"7326,5815"
99,"7282,6426"
100,"7251,3447"
101,"7197,74"
102,"7145,8843"
103,"7084,525"
104,"7035,551"
105,"6957,311"
106,"6913,8945"
107,"6868,347"
108,"6746,635"
109,"6529,0156"
110,"6442,011"
111,"6511,617"
112,"6673,3613"
113,"6943,985"
114,"7130,9463"
115,"7205,6816"
116,"7303,6694"
117,"7419,333"
118,"7436,0146"
119,"7442,423"
120,"7416,3345"
121,"7319,5327"
122,"7315,799"
123,"7449,1685"
124,"7544,133"
125,"7665,282"
126,"7738,7915"
127,"7755,784"
128,"7737,4995"
129,"7657,2886"
130,"7518,795"
131,"7328,237"
132,"7167,153"
133,"7061,525"
134,"7085,3154"
135,"7268,817"
136,"7349,3784"
137,"7376,733"
138,"7442,9224"
139,"7525,4824"
140,"7593,995"
141,"7637,409"
142,"7665,06"
143,"7655,424"
144,"7639,5312"
145,"7570,7944"
146,"7514,58"
147,"7438,905"
148,"7353,712"
149,"7302,9604"
150,"7218,694"
151,"7134,031"
152,"7067,695"
153,"7011,803"
154,"6966,5605"
155,"6942,773"
156,"6825,5"
157,"6628,2725"
158,"6524,3115"
159,"6574,9917"
160,"6713,4946"
161,"6925,094"
162,"7083,08"
163,"7204,4033"
164,"7321,4634"
165,"7426,1187"
166,"7459,869"
167,"7428,541"
168,"7397,9"
169,"7352,704"
170,"7387,5703"
171,"7506,3066"
172,"7632,583"
173,"7806,279"
174,"7891,998"
175,"7898,511"
176,"7848,998"
177,"7764,038"
178,"7626,283"
179,"7442,7065"
180,"7292,644"
181,"7109,51"
182,"7108,7715"
183,"7287,505"
184,"7385,0327"
185,"7405,107"
186,"7461,949"
187,"7533,888"
188,"7609,7363"
189,"7681,1133"
190,"7714,702"
191,"7704,2583"
192,"7693,895"
193,"7594,983"
194,"7533,444"
195,"7432,9688"
196,"7358,278"
197,"7282,8833"
198,"7207,1733"
199,"7144,3833"
200,"7084,3"
201,"7023,0728"
202,"6983,341"
203,"6945,85"
204,"6851,818"
205,"6687,733"
206,"6620,507"
207,"6632,24"
208,"6749,5195"
209,"6967,1245"
210,"7127,295"
211,"7241,397"
212,"7345,17"
213,"7433,077"
214,"7456,8096"
215,"7432,5327"
216,"7421,6074"
217,"7380,087"
218,"7416,5737"
219,"7565,3994"
220,"7693,728"
221,"7825,287"
222,"7892,341"
223,"7904,192"
224,"7863,3535"
225,"7754,424"
226,"7625,76"
227,"7455,8394"
228,"7291,776"
229,"7152,8325"
230,"7164,455"
231,"7384,986"
232,"7501,351"
233,"7528,7617"
234,"7556,8447"
235,"7605,8794"
236,"7657,0244"
237,"7721,334"
238,"7735,447"
239,"7714,9683"
240,"7696,065"
241,"7660,942"
242,"7598,3574"
243,"7510,366"
244,"7424,1177"
245,"7360,7954"
246,"7286,334"
247,"7203,28"
248,"7145,687"
249,"7091,899"
250,"7064,1284"
251,"7050,4155"
252,"6958,282"
253,"6800,984"
254,"6724,409"
255,"6700,8384"
256,"6798,187"
257,"7022,1587"
258,"7170,1147"
259,"7266,4326"
260,"7365,436"
261,"7459,4414"
262,"7500,6562"
263,"7498,645"
264,"7465,793"
265,"7423,6924"
266,"7455,0327"
267,"7582,5195"
268,"7699,3154"
269,"7818,1616"
270,"7901,412"
271,"7936,809"
272,"7922,4106"
273,"7843,758"
274,"7711,2173"
275,"7522,504"
276,"7370,7397"
277,"7254,9155"
278,"7259,95"
279,"7433,192"
280,"7547,914"
281,"7609,7666"
282,"7676,68"
283,"7749,087"
284,"7837,2983"
285,"7907,935"
286,"7936,13"
287,"7925,381"
288,"7844,444"
289,"7728,581"
290,"7636,677"
291,"7556,3564"
292,"7483,106"
293,"7403,436"
294,"7322,2563"
295,"7249,028"
296,"7197,7393"
297,"7146,2773"
298,"7113,7573"
299,"7091,4067"
300,"7003,402"
301,"6852,7153"
302,"6787,0327"
303,"6768,5195"
304,"6869,7476"
305,"7104,605"
306,"7254,9546"
307,"7345,135"
308,"7446,4917"
309,"7541,059"
310,"7585,0312"
311,"7589,211"
312,"7572,598"
