,Ano,Mes,Dia
0,2018,1,1
1,2018,1,2
2,2018,2,12
3,2018,2,13
4,2018,2,14
5,2018,3,30
6,2018,4,1
7,2018,4,21
8,2018,4,30
9,2018,5,1
10,2018,5,31
11,2018,6,1
12,2018,6,17
13,2018,6,22
14,2018,6,27
15,2018,7,2
16,2018,7,6
17,2018,9,7
18,2018,10,12
19,2018,11,2
20,2018,11,15
21,2018,11,16
22,2018,12,8
23,2018,12,24
24,2018,12,25
25,2018,12,26
26,2018,12,31
27,2019,1,1
28,2019,1,2
29,2019,3,4
30,2019,3,5
31,2019,3,6
32,2019,4,19
33,2019,4,21
34,2019,5,1
35,2019,6,20
36,2019,6,21
37,2019,6,24
38,2019,9,7
39,2019,10,12
40,2019,11,2
41,2019,11,15
42,2019,12,24
43,2019,12,25
44,2019,12,26
45,2019,12,31
46,2020,1,1
47,2020,1,2
48,2020,2,24
49,2020,2,25
50,2020,2,26
51,2020,4,10
52,2020,4,12
53,2020,4,20
54,2020,4,21
55,2020,5,1
56,2020,6,11
57,2020,6,12
58,2020,6,24
59,2020,9,7
60,2020,10,12
61,2020,11,2
62,2020,12,8
63,2020,12,24
64,2020,12,25
65,2020,12,26
66,2020,12,31
67,2021,1,1
68,2021,1,2
69,2021,2,15
70,2021,2,16
71,2021,2,17
72,2021,4,2
73,2021,4,4
74,2021,4,21
75,2021,5,1
76,2021,6,3
77,2021,6,4
78,2021,6,24
79,2021,6,25
80,2021,9,6
81,2021,9,7
82,2021,10,11
83,2021,10,12
84,2021,11,1
85,2021,11,2
86,2021,11,15
87,2021,12,8
88,2021,12,24
89,2021,12,25
90,2021,12,26
91,2021,12,31
92,2022,1,1
93,2022,1,2
94,2022,2,28
95,2022,3,1
96,2022,3,2
97,2022,4,15
98,2022,4,17
99,2022,4,21
100,2022,4,22
101,2022,6,16
102,2022,6,17
103,2022,6,24
104,2022,9,7
105,2022,10,12
106,2022,11,2
107,2022,11,14
108,2022,11,15
109,2022,12,8
110,2023,2,20
111,2023,2,21
112,2023,2,22
113,2023,4,6
114,2023,4,7
115,2023,4,9
116,2023,4,21
117,2023,5,1
118,2023,6,8
119,2023,6,9
120,2023,6,24
121,2023,9,7
122,2023,9,8
123,2023,10,12
124,2023,10,13
125,2023,11,2
126,2023,11,3
127,2023,11,15
128,2023,12,8
129,2023,12,24
130,2023,12,25
131,2023,12,26
132,2023,12,31
133,2024,1,1
