,val_previsaocarga
0,"14615,148"
1,"14280,624"
2,"14057,567"
3,"13880,005"
4,"13711,121"
5,"13559,115"
6,"13427,133"
7,"13302,749"
8,"13193,149"
9,"13114,216"
10,"12872,496"
11,"12462,256"
12,"12168,363"
13,"11965,205"
14,"11936,469"
15,"12150,736"
16,"12360,78"
17,"12593,541"
18,"12779,132"
19,"12900,716"
20,"13029,957"
21,"13157,202"
22,"13237,91"
23,"13295,383"
24,"13259,641"
25,"13126,68"
26,"13085,14"
27,"13115,619"
28,"13142,007"
29,"13172,513"
30,"13189,288"
31,"13205,753"
32,"13180,838"
33,"13123,618"
34,"13045,691"
35,"12880,109"
36,"13172,269"
37,"13952,534"
38,"14262,27"
39,"14224,119"
40,"14202,104"
41,"14101,257"
42,"14089,7705"
43,"14164,907"
44,"14196,176"
45,"14194,233"
46,"14153,921"
47,"14053,924"
48,"13898,206"
49,"13678,587"
50,"13491,09"
51,"13333,168"
52,"13186,686"
53,"13059,68"
54,"12930,259"
55,"12779,162"
56,"12671,143"
57,"12612,083"
58,"12343,712"
59,"11876,345"
60,"11518,527"
61,"11249,106"
62,"11154,376"
63,"11194,449"
64,"11232,355"
65,"11322,765"
66,"11349,783"
67,"11309,301"
68,"11331,578"
69,"11408,678"
70,"11500,401"
71,"11616,209"
72,"11671,609"
73,"11693,265"
74,"11727,929"
75,"11729,47"
76,"11723,197"
77,"11700,666"
78,"11747,024"
79,"11854,359"
80,"11867,926"
81,"11852,279"
82,"11871,555"
83,"11860,881"
84,"12168,353"
85,"12960,24"
86,"13363,092"
87,"13356,197"
88,"13378,454"
89,"13375,715"
90,"13457,236"
91,"13615,39"
92,"13741,757"
93,"13812,185"
94,"13779,986"
95,"13684,478"
96,"13480,346"
97,"13205,271"
98,"13005,197"
99,"12849,479"
100,"12718,728"
101,"12612,436"
102,"12512,954"
103,"12406,748"
104,"12344,919"
105,"12360,818"
106,"12168,414"
107,"11756,544"
108,"11532,399"
109,"11436,341"
110,"11634,559"
111,"12150,304"
112,"12669,5205"
113,"13240,185"
114,"13638,499"
115,"13836,169"
116,"14029,318"
117,"14200,201"
118,"14283,837"
119,"14290,838"
120,"14200,472"
121,"13989,978"
122,"13957,743"
123,"14178,181"
124,"14370,523"
125,"14565,968"
126,"14636,178"
127,"14603,87"
128,"14529,661"
129,"14426,218"
130,"14064,029"
131,"13388,494"
132,"13294,359"
133,"13585,5625"
134,"13725,582"
135,"13797,154"
136,"13797,244"
137,"13660,522"
138,"13798,776"
139,"14223,353"
140,"14435,482"
141,"14477,159"
142,"14435,265"
143,"14294,331"
144,"14068,72"
145,"13756,407"
146,"13516,996"
147,"13311,164"
148,"13147,248"
149,"13014,958"
150,"12864,248"
151,"12751,584"
152,"12656,454"
153,"12636,11"
154,"12469,288"
155,"12134,124"
156,"11848,094"
157,"11667,035"
158,"11800,655"
159,"12290,362"
160,"12777,968"
161,"13274,301"
162,"13586,475"
163,"13673,736"
164,"13848,696"
165,"14107,527"
166,"14209,271"
167,"14196,07"
168,"14073,271"
169,"13855,483"
170,"13813,101"
171,"13893,392"
172,"14041,242"
173,"14269,6455"
174,"14393,931"
175,"14386,353"
176,"14316,541"
177,"14202,872"
178,"13856,998"
179,"13227,889"
180,"13086,316"
181,"13281,572"
182,"13427,266"
183,"13526,967"
184,"13561,0625"
185,"13455,923"
186,"13620,669"
187,"14057,644"
188,"14276,101"
189,"14311,063"
190,"14291,084"
191,"14167,879"
192,"13985,6455"
193,"13746,178"
194,"13542,796"
195,"13350,9375"
196,"13168,295"
197,"13003,459"
198,"12867,816"
199,"12747,987"
200,"12656,366"
201,"12617,3125"
202,"12421,486"
203,"12073,083"
204,"11851,415"
