,Ano,Mes,Dia,Hora,Min,Temperatura
0,2024,1,19,0,0,"26,9537"
1,2024,1,19,1,0,"26,5913"
2,2024,1,19,2,0,"26,2969"
3,2024,1,19,3,0,"26,0105"
4,2024,1,19,4,0,"25,6978"
5,2024,1,19,5,0,"25,5214"
6,2024,1,19,6,0,"25,6927"
7,2024,1,19,7,0,"27,2767"
8,2024,1,19,8,0,"28,279"
9,2024,1,19,9,0,"29,1166"
10,2024,1,19,10,0,"29,8482"
11,2024,1,19,11,0,"30,5057"
12,2024,1,19,12,0,"30,8067"
13,2024,1,19,13,0,"30,880001"
14,2024,1,19,14,0,"30,8275"
15,2024,1,19,15,0,"30,6241"
16,2024,1,19,16,0,"30,2548"
17,2024,1,19,17,0,"29,6066"
18,2024,1,19,18,0,"28,6572"
19,2024,1,19,19,0,"28,2024"
20,2024,1,19,20,0,"28,0023"
21,2024,1,19,21,0,"27,8969"
22,2024,1,19,22,0,"27,6207"
23,2024,1,19,23,0,"27,313"
24,2024,1,20,0,0,"27,0298"
25,2024,1,20,1,0,"26,7085"
26,2024,1,20,2,0,"26,316599"
27,2024,1,20,3,0,"26,056099"
28,2024,1,20,4,0,"25,817"
29,2024,1,20,5,0,"25,634901"
30,2024,1,20,6,0,"26,0353"
31,2024,1,20,7,0,"27,421"
32,2024,1,20,8,0,"28,4218"
33,2024,1,20,9,0,"29,3928"
34,2024,1,20,10,0,"29,9886"
35,2024,1,20,11,0,"30,6787"
36,2024,1,20,12,0,"30,8703"
37,2024,1,20,13,0,"31,1117"
38,2024,1,20,14,0,"30,9472"
39,2024,1,20,15,0,"30,8361"
40,2024,1,20,16,0,"30,4152"
41,2024,1,20,17,0,"29,6913"
42,2024,1,20,18,0,"28,837399"
43,2024,1,20,19,0,"28,2473"
44,2024,1,20,20,0,"27,9979"
45,2024,1,20,21,0,"27,3923"
46,2024,1,20,22,0,"27,2411"
47,2024,1,20,23,0,"27,0293"
48,2024,1,21,0,0,"26,759699"
49,2024,1,21,1,0,"26,4916"
50,2024,1,21,2,0,"26,2453"
51,2024,1,21,3,0,"26,0392"
52,2024,1,21,4,0,"25,8315"
53,2024,1,21,5,0,"25,6539"
54,2024,1,21,6,0,"25,7034"
55,2024,1,21,7,0,"26,604"
56,2024,1,21,8,0,"27,4665"
57,2024,1,21,9,0,"28,2954"
58,2024,1,21,10,0,"29,0178"
59,2024,1,21,11,0,"29,6308"
60,2024,1,21,12,0,"29,938799"
61,2024,1,21,13,0,"29,993301"
62,2024,1,21,14,0,"29,6609"
63,2024,1,21,15,0,"29,646"
64,2024,1,21,16,0,"29,082"
65,2024,1,21,17,0,"28,3593"
66,2024,1,21,18,0,"27,770601"
67,2024,1,21,19,0,"27,3709"
68,2024,1,21,20,0,"27,1294"
69,2024,1,21,21,0,"26,9048"
70,2024,1,21,22,0,"26,8025"
71,2024,1,21,23,0,"26,528599"
72,2024,1,22,0,0,"26,4207"
73,2024,1,22,1,0,"26,2962"
74,2024,1,22,2,0,"26,1641"
75,2024,1,22,3,0,"25,9751"
76,2024,1,22,4,0,"25,8727"
