,val_previsaocarga
0,"14560,495"
1,"14071,157"
2,"13652,489"
3,"13259,484"
4,"12904,885"
5,"12604,08"
6,"12367,326"
7,"12200,551"
8,"12044,233"
9,"11914,388"
10,"11806,709"
11,"11729,694"
12,"11637,34"
13,"11496,419"
14,"11639,3"
15,"12018,968"
16,"12391,581"
17,"12763,379"
18,"13055,277"
19,"13297,865"
20,"13532,03"
21,"13722,471"
22,"13901,477"
23,"14077,049"
24,"14097,953"
25,"13927,647"
26,"13887,412"
27,"13985,3545"
28,"14005,062"
29,"14001,573"
30,"13967,637"
31,"13914,089"
32,"13834,133"
33,"13773,387"
34,"13751,219"
35,"13767,078"
36,"13780,965"
37,"13721,064"
38,"13893,408"
39,"14348,863"
40,"14556,436"
41,"14580,185"
42,"14424,563"
43,"14052,719"
44,"13716,075"
45,"13430,459"
46,"13143,222"
47,"12884,289"
48,"12527,684"
49,"12111,077"
50,"11729,532"
51,"11393,2295"
52,"11099,394"
53,"10852,598"
54,"10646,139"
55,"10478,439"
56,"10345,769"
57,"10256,754"
58,"10083,487"
59,"9817,852"
60,"9622,1045"
61,"9473,1455"
62,"9501,743"
63,"9703,959"
64,"9916,83"
65,"10125,251"
66,"10352,796"
67,"10584,862"
68,"10883,175"
69,"11226,177"
70,"11522,326"
71,"11849,843"
72,"11916,805"
73,"11756,66"
74,"11681,937"
75,"11686,104"
76,"11656,975"
77,"11665,073"
78,"11648,097"
79,"11687,226"
80,"11769,969"
81,"11847,797"
82,"12006,396"
83,"12235,122"
84,"12416,358"
85,"12586,844"
86,"12918,562"
87,"13465,469"
88,"13817,893"
89,"14012,849"
90,"14032,947"
91,"13902,171"
92,"13728,954"
93,"13549,05"
94,"13333,366"
95,"13099,557"
96,"12672,713"
97,"12113,208"
98,"11725,759"
99,"11486,788"
100,"11274,601"
101,"11119,186"
102,"10996,823"
103,"10908,862"
104,"10883,058"
105,"10928,385"
106,"11023,252"
107,"11185,063"
108,"11372,166"
109,"11563,828"
110,"12081,525"
111,"13063,79"
112,"13785,471"
113,"14488,352"
114,"14935,553"
115,"15226,395"
116,"15528,037"
117,"15873,4795"
118,"16156,137"
119,"16467,572"
120,"16286,639"
121,"15552,212"
122,"15566,047"
123,"16310,954"
124,"16772,498"
125,"17030,896"
126,"17156,945"
127,"17027,877"
128,"16991,639"
129,"17024,795"
130,"16775,281"
131,"16282,994"
132,"15616,115"
133,"14774,119"
134,"14606,864"
135,"15118,418"
136,"15379,034"
137,"15559,713"
138,"15624,593"
139,"15560,649"
140,"15350,933"
141,"14997,287"
142,"14500,553"
143,"13863,323"
144,"13426,913"
145,"13191,376"
146,"12869,849"
147,"12468,929"
148,"12169,651"
149,"11926,201"
150,"11736,427"
151,"11638,761"
152,"11570,902"
153,"11542,814"
154,"11596,623"
155,"11733,603"
156,"11916,612"
157,"12106,726"
158,"12665,546"
159,"13655,891"
160,"14413,79"
161,"15082,83"
162,"15512,191"
163,"15644,734"
164,"15918,674"
165,"16323,699"
166,"16585,21"
167,"16777,283"
168,"16662,28"
169,"16181,659"
170,"16254,752"
171,"16914,594"
172,"17275,785"
173,"17543,576"
174,"17653,334"
175,"17587,072"
176,"17515,916"
177,"17449,83"
178,"17157,021"
179,"16648,475"
180,"16068,709"
181,"15108,949"
182,"15009,398"
183,"15658,453"
184,"15927,1"
185,"15836,658"
186,"15862,79"
187,"15831,754"
188,"15767,494"
189,"15571,927"
190,"15156,441"
191,"14556,41"
192,"13975,102"
193,"13402,839"
194,"12951,512"
195,"12620,291"
196,"12312,563"
197,"12056,529"
198,"11862,145"
199,"11738,078"
200,"11667,765"
201,"11636,633"
202,"11666,663"
203,"11747,297"
204,"11895,154"
205,"12109,463"
206,"12646,434"
207,"13498,549"
208,"14332,364"
209,"15132,495"
210,"15643,719"
211,"15790,259"
212,"16108,604"
213,"16491,531"
214,"16722,934"
215,"16945,11"
216,"16711,488"
217,"15941,883"
218,"15955,595"
219,"16579,398"
220,"16990,484"
221,"17294,389"
222,"17390,148"
223,"17253,643"
224,"17161,254"
225,"17147,043"
226,"16905,37"
227,"16404,02"
228,"15748,3125"
229,"14886,52"
230,"14675,484"
231,"15152,693"
232,"15402,969"
233,"15490,515"
234,"15579,791"
235,"15631,714"
236,"15584,28"
237,"15443,191"
238,"15149,733"
239,"14708,121"
240,"14108,806"
241,"13346,884"
242,"12796,278"
243,"12428,064"
244,"12120,514"
245,"11902,184"
246,"11724,621"
247,"11601,143"
248,"11527,287"
249,"11493,083"
250,"11618,613"
251,"11892,082"
252,"12147,327"
253,"12296,206"
254,"12811,139"
255,"13652,455"
256,"14386,611"
257,"15105,422"
258,"15576,815"
259,"15769,882"
260,"16060,61"
261,"16427,531"
262,"16727,723"
263,"16984,926"
264,"16736,746"
265,"15854,717"
266,"15841,426"
267,"16591,475"
268,"16863,262"
269,"16912,484"
270,"16893,65"
271,"16837,8"
272,"16764,965"
273,"16652,096"
274,"16449,35"
275,"16160,261"
276,"15605,508"
277,"14677,058"
278,"14485,566"
279,"15001,413"
280,"15272,467"
281,"15284,872"
282,"15381,917"
283,"15440,165"
284,"15376,515"
285,"15138,238"
286,"14811,497"
287,"14438,837"
288,"13930,895"
289,"13295,486"
290,"12794,018"
291,"12452,097"
292,"12144,929"
293,"11886,657"
294,"11705,668"
295,"11603,381"
296,"11536,992"
297,"11502,897"
298,"11599,766"
299,"11823,309"
300,"12037,066"
301,"12217,7295"
302,"12714,074"
303,"13524,244"
304,"14243,258"
305,"14991,975"
306,"15463,97"
307,"15645,045"
308,"15892,173"
309,"16212,88"
