,Ano,Mes,Dia,Hora,Min,Temperatura
0,2024,1,19,0,0,"24,3266"
1,2024,1,19,1,0,"23,96"
2,2024,1,19,2,0,"23,4702"
3,2024,1,19,3,0,"23,1512"
4,2024,1,19,4,0,"22,6758"
5,2024,1,19,5,0,"22,379902"
6,2024,1,19,6,0,"22,1411"
7,2024,1,19,7,0,"23,198898"
8,2024,1,19,8,0,"24,9362"
9,2024,1,19,9,0,"27,148"
10,2024,1,19,10,0,"28,705801"
11,2024,1,19,11,0,"30,1473"
12,2024,1,19,12,0,"30,7166"
13,2024,1,19,13,0,"31,208"
14,2024,1,19,14,0,"31,319"
15,2024,1,19,15,0,"30,4749"
16,2024,1,19,16,0,"29,7049"
17,2024,1,19,17,0,"28,799501"
18,2024,1,19,18,0,"27,8587"
19,2024,1,19,19,0,"26,6876"
20,2024,1,19,20,0,"25,9972"
21,2024,1,19,21,0,"25,1988"
22,2024,1,19,22,0,"24,756199"
23,2024,1,19,23,0,"24,4276"
24,2024,1,20,0,0,"24,3059"
25,2024,1,20,1,0,"23,8438"
26,2024,1,20,2,0,"23,3366"
27,2024,1,20,3,0,"23,2386"
28,2024,1,20,4,0,"23,0686"
29,2024,1,20,5,0,"23,0336"
30,2024,1,20,6,0,"22,8799"
31,2024,1,20,7,0,"23,678999"
32,2024,1,20,8,0,"24,7418"
33,2024,1,20,9,0,"25,894798"
34,2024,1,20,10,0,"26,8413"
35,2024,1,20,11,0,"27,833"
36,2024,1,20,12,0,"28,4725"
37,2024,1,20,13,0,"28,357199"
38,2024,1,20,14,0,"28,4362"
39,2024,1,20,15,0,"28,0344"
40,2024,1,20,16,0,"27,9048"
41,2024,1,20,17,0,"27,2569"
42,2024,1,20,18,0,"26,4375"
43,2024,1,20,19,0,"25,3135"
44,2024,1,20,20,0,"24,2564"
45,2024,1,20,21,0,"23,1604"
46,2024,1,20,22,0,"22,7859"
47,2024,1,20,23,0,"22,303"
48,2024,1,21,0,0,"22,0836"
49,2024,1,21,1,0,"21,973"
50,2024,1,21,2,0,"21,6802"
51,2024,1,21,3,0,"21,417"
52,2024,1,21,4,0,"21,282001"
53,2024,1,21,5,0,"21,2276"
54,2024,1,21,6,0,"21,1759"
55,2024,1,21,7,0,"21,5755"
56,2024,1,21,8,0,"22,175499"
57,2024,1,21,9,0,"22,4207"
58,2024,1,21,10,0,"22,6469"
59,2024,1,21,11,0,"22,6013"
60,2024,1,21,12,0,"22,6918"
61,2024,1,21,13,0,"23,1394"
62,2024,1,21,14,0,"23,2197"
63,2024,1,21,15,0,"23,103401"
64,2024,1,21,16,0,"22,8932"
65,2024,1,21,17,0,"22,6537"
66,2024,1,21,18,0,"22,1803"
67,2024,1,21,19,0,"21,5855"
68,2024,1,21,20,0,"21,1144"
69,2024,1,21,21,0,"20,7467"
70,2024,1,21,22,0,"20,5151"
71,2024,1,21,23,0,"20,244"
72,2024,1,22,0,0,"20,029999"
73,2024,1,22,1,0,"19,9072"
74,2024,1,22,2,0,"19,9124"
75,2024,1,22,3,0,"19,6774"
76,2024,1,22,4,0,"19,5485"
77,2024,1,22,5,0,"19,3641"
78,2024,1,22,6,0,"19,3291"
79,2024,1,22,7,0,"19,7257"
80,2024,1,22,8,0,"20,4079"
81,2024,1,22,9,0,"21,396198"
82,2024,1,22,10,0,"21,7867"
83,2024,1,22,11,0,"22,3792"
84,2024,1,22,12,0,"22,7074"
85,2024,1,22,13,0,"23,0424"
86,2024,1,22,14,0,"23,213501"
87,2024,1,22,15,0,"22,917702"
88,2024,1,22,16,0,"22,789902"
89,2024,1,22,17,0,"22,5933"
90,2024,1,22,18,0,"22,0583"
91,2024,1,22,19,0,"21,1865"
92,2024,1,22,20,0,"20,5617"
93,2024,1,22,21,0,"20,1168"
94,2024,1,22,22,0,"19,6726"
95,2024,1,22,23,0,"19,237202"
96,2024,1,23,0,0,"19,1056"
97,2024,1,23,1,0,"19,0889"
98,2024,1,23,2,0,"18,9128"
99,2024,1,23,3,0,"18,69"
100,2024,1,23,4,0,"18,5706"
101,2024,1,23,5,0,"18,5162"
102,2024,1,23,6,0,"18,607399"
103,2024,1,23,7,0,"18,971302"
104,2024,1,23,8,0,"19,8862"
105,2024,1,23,9,0,"20,8232"
106,2024,1,23,10,0,"21,4412"
107,2024,1,23,11,0,"22,0215"
108,2024,1,23,12,0,"22,6075"
109,2024,1,23,13,0,"23,4193"
110,2024,1,23,14,0,"23,3425"
111,2024,1,23,15,0,"23,1619"
112,2024,1,23,16,0,"23,0664"
113,2024,1,23,17,0,"22,3876"
114,2024,1,23,18,0,"21,871601"
115,2024,1,23,19,0,"20,7937"
116,2024,1,23,20,0,"20,0662"
117,2024,1,23,21,0,"19,8125"
118,2024,1,23,22,0,"19,6071"
119,2024,1,23,23,0,"19,5322"
120,2024,1,24,0,0,"19,1288"
121,2024,1,24,1,0,"18,8954"
122,2024,1,24,2,0,"18,6726"
123,2024,1,24,3,0,"18,441"
124,2024,1,24,4,0,"18,1908"
