,Ano,Mes,Dia
0,2018,1,1
1,2018,1,2
2,2018,1,20
3,2018,2,12
4,2018,2,13
5,2018,2,14
6,2018,3,30
7,2018,4,1
8,2018,4,21
9,2018,4,30
10,2018,5,1
11,2018,5,31
12,2018,6,1
13,2018,6,17
14,2018,6,22
15,2018,6,27
16,2018,7,2
17,2018,7,6
18,2018,7,9
19,2018,9,7
20,2018,10,12
21,2018,11,2
22,2018,11,15
23,2018,11,16
24,2018,11,20
25,2018,12,24
26,2018,12,25
27,2018,12,26
28,2018,12,31
29,2019,1,1
30,2019,1,2
31,2019,3,4
32,2019,3,5
33,2019,3,6
34,2019,4,19
35,2019,4,21
36,2019,5,1
37,2019,6,20
38,2019,6,21
39,2019,7,7
40,2019,7,9
41,2019,9,7
42,2019,10,12
43,2019,11,2
44,2019,11,15
45,2019,11,20
46,2019,12,24
47,2019,12,25
48,2019,12,26
49,2019,12,31
50,2020,1,1
51,2020,1,2
52,2020,1,20
53,2020,2,24
54,2020,2,25
55,2020,2,26
56,2020,4,10
57,2020,4,12
58,2020,4,20
59,2020,4,21
60,2020,5,1
61,2020,6,11
62,2020,6,12
63,2020,7,9
64,2020,9,7
65,2020,10,12
66,2020,11,2
67,2020,11,20
68,2020,12,24
69,2020,12,25
70,2020,12,26
71,2020,12,31
72,2021,1,1
73,2021,1,2
74,2021,1,20
75,2021,2,15
76,2021,2,16
77,2021,2,17
78,2021,4,2
79,2021,4,4
80,2021,4,21
81,2021,5,1
82,2021,6,3
83,2021,6,4
84,2021,7,9
85,2021,9,6
86,2021,9,7
87,2021,10,11
88,2021,10,12
89,2021,11,1
90,2021,11,2
91,2021,11,15
92,2021,12,24
93,2021,12,25
94,2021,12,26
95,2021,12,31
96,2022,1,1
97,2022,1,2
98,2022,1,20
99,2022,2,28
100,2022,3,1
101,2022,3,2
102,2022,4,15
103,2022,4,17
104,2022,4,21
105,2022,4,22
106,2022,6,16
107,2022,6,17
108,2022,7,9
109,2022,9,7
110,2022,10,12
111,2022,11,2
112,2022,11,14
113,2022,11,15
114,2023,1,20
115,2023,2,20
116,2023,2,21
117,2023,2,22
118,2023,4,6
119,2023,4,7
120,2023,4,9
121,2023,4,21
122,2023,5,1
123,2023,6,8
124,2023,6,9
125,2023,9,7
126,2023,9,8
127,2023,10,12
128,2023,10,13
129,2023,11,2
130,2023,11,3
131,2023,11,15
132,2023,11,20
133,2023,12,24
134,2023,12,25
135,2023,12,26
136,2023,12,31
137,2024,1,1
