,val_previsaocarga
0,"50451,086"
1,"48621,273"
2,"47485,96"
3,"46514,844"
4,"45653,86"
5,"44798,9"
6,"44135,99"
7,"43558,79"
8,"43200,164"
9,"43060,02"
10,"42652,31"
11,"42331,465"
12,"42074,324"
13,"41937,53"
14,"42222,98"
15,"43083,387"
16,"44051,07"
17,"45253,145"
18,"46206,047"
19,"47073,848"
20,"47784,316"
21,"48213,816"
22,"48648,7"
23,"48999,227"
24,"49191,2"
25,"49317,715"
26,"49404,293"
27,"49481,914"
28,"49452,918"
29,"49304,41"
30,"49168,84"
31,"49038,4"
32,"48888,062"
33,"48801,99"
34,"48767,883"
35,"48676,973"
36,"48894,63"
37,"49530,67"
38,"50414,25"
39,"51742,008"
40,"51920,938"
41,"51329,465"
42,"50918,797"
43,"50396,297"
44,"49787,547"
45,"48993,84"
46,"48416,69"
47,"47853,477"
48,"46792,676"
49,"45318,938"
50,"44093,207"
51,"43317,21"
52,"42457,61"
53,"41649,055"
54,"40909,914"
55,"40328,336"
56,"39852,766"
57,"39585,72"
58,"39152,082"
59,"38657,477"
60,"38120,715"
61,"37524,473"
62,"37465,527"
63,"37829,34"
64,"38349,273"
65,"38955,246"
66,"39568,17"
67,"40120,797"
68,"40720,617"
69,"41292,55"
70,"41807,56"
71,"42660,594"
72,"43196,184"
73,"43436,242"
74,"43579,703"
75,"43458,61"
76,"43351,285"
77,"43187,723"
78,"43141,76"
79,"43238,23"
80,"43404,152"
81,"43930,29"
82,"44570,496"
83,"45176,24"
84,"45793,242"
85,"46624,76"
86,"47907,61"
87,"49275,7"
88,"49895,85"
89,"49794,285"
90,"49700,395"
91,"49259,945"
92,"48802,664"
93,"48114,52"
94,"47466,22"
95,"46838,598"
96,"45189,176"
97,"42684,42"
98,"41277,74"
99,"40827,973"
100,"40324,46"
101,"39783,285"
102,"39362,188"
103,"39046,223"
104,"38903,918"
105,"38889,688"
106,"38977,336"
107,"39197,5"
108,"39506,49"
109,"39876,516"
110,"41103,414"
111,"43181,6"
112,"45181,266"
113,"47208,527"
114,"48803,426"
115,"49807,59"
116,"50800,293"
117,51664
118,"52274,58"
119,"52647,8"
120,"52661,703"
121,"52173,996"
122,"52290,445"
123,"53033,09"
124,"53410,65"
125,"53458,715"
126,"53589,547"
127,"53743,867"
128,"53727,766"
129,"53736,812"
130,"52888,81"
131,"51222,67"
132,"50160,234"
133,"49266,12"
134,"49563,113"
135,"51254,902"
136,"52111,57"
137,"52444,85"
138,"52472,12"
139,"52245,184"
140,"51481,594"
141,"50267,254"
142,"48986,574"
143,"47899,37"
144,"46500,547"
145,"44940,99"
146,"43615,24"
147,"42562,68"
148,"41645,445"
149,"41016,19"
150,"40449,82"
151,"40040,11"
152,"39829,61"
153,"39810,94"
154,"39903,656"
155,"39953,875"
156,"40244,57"
157,"40682,832"
158,"41883,08"
159,"43773,316"
160,"45535,605"
161,"47281,305"
162,"48555,574"
163,"49388,008"
164,"50151,08"
165,"50837,535"
166,"51411,434"
167,"51922,816"
168,"52093,145"
169,"51935,316"
170,"52209,16"
171,"52822,246"
172,"53342,316"
173,"53619,527"
174,"53838,3"
175,"53853,094"
176,"53744,637"
177,"53596,973"
178,"52657,418"
179,"50865,414"
180,"49655,05"
181,"48912,875"
182,"49321,414"
183,"50861,83"
184,"51559,098"
185,"51257,164"
186,"51009,215"
187,"50876,703"
188,"50231,633"
189,"49090,848"
190,"48048,09"
191,"46979,137"
192,"45704,484"
193,"44279,688"
194,"43090,848"
195,"42001,188"
196,"41190,25"
197,"40669,234"
198,"40197,42"
199,"39741,543"
200,"39518,043"
201,"39451,15"
202,"39684,918"
203,"40127,438"
204,"40626,484"
205,"41225,426"
206,"42175,125"
207,"43746,188"
208,"45311,63"
209,"46961,043"
210,"48227,82"
211,"49128,836"
212,"49868,883"
213,"50562,266"
214,"51052,87"
215,"51390,72"
216,"51480,496"
217,"51258,027"
218,"51478,12"
219,"52126,19"
220,"52621,895"
221,"53019,484"
222,"53290,184"
223,"53442,01"
224,"53450,484"
225,"53281,15"
226,"52548,03"
227,"51159,3"
228,"50274,285"
229,"49619,598"
230,"50059,645"
231,"51627,953"
232,"52257,85"
233,"52096,164"
234,"51906,906"
235,"51657,797"
236,"50759,758"
237,"49243,24"
238,"47915,875"
239,"46938,81"
240,"45480,6"
241,"43620,61"
242,"42261,996"
243,"41568,758"
244,"40760,016"
245,"40067,285"
246,"39481,875"
247,"39141,547"
248,"38924,25"
249,"38921,85"
250,"39072,07"
251,"39511,953"
252,"40039,594"
253,"40708,508"
254,"41861,69"
255,"43549,016"
256,"45192,445"
257,"46949,684"
258,"48195,676"
259,"49071,336"
260,"49836,41"
261,"50455,93"
262,"51089,03"
263,"51732,035"
264,"51852,316"
265,"51562,66"
266,"51763,22"
267,"52414,094"
268,"52939,137"
269,"53386,2"
270,"53739,426"
271,"53867,45"
272,"53732,4"
273,"53483,9"
274,"52637,316"
275,"51185,17"
276,"50287,453"
277,"49705,973"
278,"50077,406"
279,"51409,234"
280,"51923,22"
281,"51632,1"
282,"51428,035"
283,"51328,383"
284,"50587,45"
285,"49248,72"
286,"48067,273"
287,"46904,35"
288,"45684,957"
289,"44404,434"
290,"43176,105"
291,"42218,75"
292,"41367,45"
293,"40690,33"
294,"40192,13"
295,"39968,08"
296,"39824,64"
297,"39755,867"
298,"39958,355"
299,"40290,434"
300,"40861,855"
301,"41587,07"
302,"42734,15"
303,"44237,57"
304,"45854,98"
305,"47626,59"
306,"48905,586"
307,"49734,152"
308,"50520,523"
309,"51168,875"
310,"51675,043"
311,"52060,684"
312,"52051,668"
313,"51732,08"
314,"51944,03"
315,"52810,527"
316,53389
317,"53673,02"
318,"53868,273"
319,"53724,215"
320,"53438,027"
321,"52893,133"
322,"52004,63"
323,"50579,355"
324,"49790,875"
325,"49646,34"
326,"49984,383"
327,"51120,273"
328,"51535,156"
329,"51091,72"
330,"50627,55"
331,"50250,812"
332,"49646,133"
333,"48637,863"
334,"47735,754"
335,"46847,953"
336,"46061,72"
