,Ano,Mes,Dia,Hora,Min,Temperatura
0,2024,1,19,0,0,"25,1667"
1,2024,1,19,1,0,"24,9342"
2,2024,1,19,2,0,"24,779202"
3,2024,1,19,3,0,"24,2871"
4,2024,1,19,4,0,"24,0594"
5,2024,1,19,5,0,"23,9275"
6,2024,1,19,6,0,"23,9263"
7,2024,1,19,7,0,"24,9525"
8,2024,1,19,8,0,"26,6127"
9,2024,1,19,9,0,"28,333101"
10,2024,1,19,10,0,"30,0451"
11,2024,1,19,11,0,"31,4547"
12,2024,1,19,12,0,"32,4396"
13,2024,1,19,13,0,"33,0294"
14,2024,1,19,14,0,"32,770702"
15,2024,1,19,15,0,"31,9126"
16,2024,1,19,16,0,"31,0724"
17,2024,1,19,17,0,"30,1201"
18,2024,1,19,18,0,"29,0186"
19,2024,1,19,19,0,"27,8114"
20,2024,1,19,20,0,"27,1367"
21,2024,1,19,21,0,"26,6529"
22,2024,1,19,22,0,"26,1812"
23,2024,1,19,23,0,"25,8303"
24,2024,1,20,0,0,"25,389301"
25,2024,1,20,1,0,"25,1228"
26,2024,1,20,2,0,"24,8914"
27,2024,1,20,3,0,"24,5007"
28,2024,1,20,4,0,"24,2912"
29,2024,1,20,5,0,"23,990799"
30,2024,1,20,6,0,"24,0958"
31,2024,1,20,7,0,"25,6098"
32,2024,1,20,8,0,"27,2379"
33,2024,1,20,9,0,"29,2656"
34,2024,1,20,10,0,"31,2583"
35,2024,1,20,11,0,"32,189198"
36,2024,1,20,12,0,"32,4615"
37,2024,1,20,13,0,"31,8423"
38,2024,1,20,14,0,"32,139297"
39,2024,1,20,15,0,"31,081501"
40,2024,1,20,16,0,"30,068901"
41,2024,1,20,17,0,"28,6523"
42,2024,1,20,18,0,"27,9854"
43,2024,1,20,19,0,"26,9584"
44,2024,1,20,20,0,"26,4859"
45,2024,1,20,21,0,"26,1954"
46,2024,1,20,22,0,"25,7791"
47,2024,1,20,23,0,"25,666"
