;Unnamed: 0.1;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN;SECO Carga Verificada;S Carga Verificada;NE Carga Verificada;N Carga Verificada;SIN Carga Verificada;MAPE MLP Seco;MAPE MLP S;MAPE MLP NE;MAPE MLP N;MAPE MLP SIN;MAPE LSTM Seco;MAPE LSTM S;MAPE LSTM NE;MAPE LSTM N;MAPE LSTM SIN;MAPE GRU Seco;MAPE GRU S;MAPE GRU NE;MAPE GRU N;MAPE GRU SIN;MAPE ONS Seco;MAPE ONS S;MAPE ONS NE;MAPE ONS N;MAPE ONS SIN;MAE MLP Seco;MAE MLP S;MAE MLP NE;MAE MLP N;MAE MLP SIN;MAE LSTM Seco;MAE LSTM S;MAE LSTM NE;MAE LSTM N;MAE LSTM SIN;MAE GRU Seco;MAE GRU S;MAE GRU NE;MAE GRU N;MAE GRU SIN;MAE ONS Seco;MAE ONS S;MAE ONS NE;MAE ONS N;MAE ONS SIN
0;0;42196,7;13182,5;14436,92;7649,86;77465,98;39831,76;13168,4;14067,94;7651,88;74719,98;40407,22;12720,25;14270,02;7679,98;75077,47;41363,79;13993,26;13750,14;8020,0;77127,19;37926,56;12096,41;12895,0;7521,86;70439,83;11,26;8,98;11,96;1,7;9,97;5,02;8,86;9,1;1,73;6,08;6,54;5,16;10,66;2,1;6,58;9,06;15,68;6,63;6,62;9,49;4270,14;1086,09;1541,92;128,0;7026,15;1905,2;1071,99;1172,94;130,02;4280,15;2480,66;623,84;1375,02;158,12;4637,64;3437,23;1896,85;855,14;498,14;6687,36
1;1;40816,74;12723,23;14182,27;7582,06;75304,3;38614,84;12659,55;13860,01;7618,62;72753,02;39052,62;12246,19;14010,9;7620,01;72929,72;39655,02;14458,06;12470,04;7462,42;74045,54;37105,94;11758,74;12690,91;7498,52;69054,11;10,0;8,2;11,75;1,11;9,05;4,07;7,66;9,21;1,6;5,36;5,25;4,15;10,4;1,62;5,61;6,87;22,96;1,74;0,48;7,23;3710,8;964,49;1491,36;83,54;6250,19;1508,9;900,81;1169,1;120,1;3698,91;1946,68;487,45;1319,99;121,49;3875,61;2549,08;2699,32;-220,87;-36,1;4991,43
2;2;39539,02;12304,59;13942,34;7517,38;73303,33;37487,93;12212,63;13650,74;7568,93;70920,23;37819,89;11817,73;13782,48;7549,67;70969,77;38311,34;14405,23;11816,85;7362,11;71895,53;36276,24;11402,02;12498,43;7465,2;67641,89;8,99;7,92;11,55;0,7;8,37;3,34;7,11;9,22;1,39;4,85;4,26;3,65;10,27;1,13;4,92;5,61;26,34;5,45;1,38;6,29;3262,78;902,57;1443,91;52,18;5661,44;1211,69;810,61;1152,31;103,73;3278,34;1543,65;415,71;1284,05;84,47;3327,88;2035,1;3003,21;-681,58;-103,09;4253,64
3;3;38449,42;11957,8;13726,46;7455,1;71588,78;36529,61;11870,36;13443,67;7493,38;69337,02;36804,87;11467,52;13603,16;7461,98;69337,53;37334,92;13840,96;11663,69;7304,88;70144,45;35446,01;11026,63;12327,92;7415,68;66216,24;8,47;8,44;11,34;0,53;8,11;3,06;7,65;9,05;1,05;4,71;3,83;4,0;10,34;0,62;4,71;5,33;25,52;5,39;1,49;5,93;3003,41;931,17;1398,54;39,42;5372,54;1083,6;843,73;1115,75;77,7;3120,78;1358,86;440,89;1275,24;46,3;3121,29;1888,91;2814,33;-664,23;-110,8;3928,21
4;4;37568,34;11676,21;13522,49;7379,21;70146,25;35772,85;11598,57;13261,68;7410,37;68043,47;35999,34;11176,52;13442,15;7363,52;67981,53;36833,3;13434,19;12029,84;7253,69;69551,02;34694,2;10710,69;12184,81;7358,77;64948,47;8,28;9,01;10,98;0,28;8,0;3,11;8,29;8,84;0,7;4,77;3,76;4,35;10,32;0,06;4,67;6,17;25,43;1,27;1,43;7,09;2874,14;965,52;1337,68;20,44;5197,78;1078,65;887,88;1076,87;51,6;3095,0;1305,14;465,83;1257,34;4,75;3033,06;2139,1;2723,5;-154,97;-105,08;4602,55
5;5;36891,07;11446,58;13320,55;7278,82;68937,02;35221,58;11357,62;13121,47;7337,92;67038,59;35373,6;10922,3;13268,91;7262,81;66827,62;36084,48;13094,26;12106,4;7104,98;68390,12;34096,2;10522,59;12067,78;7304,1;63990,66;8,2;8,78;10,38;0,35;7,73;3,3;7,94;8,73;0,46;4,76;3,75;3,8;9,95;0,57;4,43;5,83;24,44;0,32;2,73;6,88;2794,87;923,99;1252,77;-25,28;4946,36;1125,38;835,03;1053,69;33,82;3047,93;1277,4;399,71;1201,13;-41,29;2836,96;1988,28;2571,67;38,62;-199,12;4399,46
6;6;36377,89;11266,93;13141,4;7179,01;67965,23;34809,39;11163,01;12995,5;7264,55;66232,45;34916,14;10720,81;13103,21;7162,44;65902,6;35218,82;12855,5;11932,15;7042,97;67049,44;33642,78;10414,0;11953,46;7249,47;63259,7;8,13;8,19;9,94;0,97;7,44;3,47;7,19;8,72;0,21;4,7;3,78;2,95;9,62;1,2;4,18;4,68;23,44;0,18;2,85;5,99;2735,11;852,93;1187,94;-70,46;4705,53;1166,61;749,01;1042,04;15,08;2972,75;1273,36;306,81;1149,75;-87,03;2642,9;1576,04;2441,5;-21,31;-206,5;3789,74
7;7;35992,57;11136,77;13008,89;7103,44;67241,67;34478,4;11035,4;12861,05;7178,53;65553,38;34618,4;10591,95;12973,58;7064,48;65248,41;35198,5;12753,61;11722,04;6922,39;66596,54;33316,66;10322,73;11829,5;7191,75;62660,65;8,03;7,89;9,97;1,23;7,31;3,49;6,9;8,72;0,18;4,62;3,91;2,61;9,67;1,77;4,13;5,65;23,55;0,91;3,75;6,28;2675,91;814,04;1179,39;-88,31;4581,02;1161,74;712,67;1031,55;-13,22;2892,73;1301,74;269,22;1144,08;-127,27;2587,76;1881,84;2430,88;-107,46;-269,36;3935,89
8;8;35747,93;11050,46;12928,79;7034,14;66761,32;34275,33;10961,19;12758,93;7096,36;65091,81;34465,4;10533,08;12893,4;6974,66;64866,54;34793,18;12665,44;11701,64;6856,56;66016,82;33152,97;10247,87;11749,61;7136,0;62286,45;7,83;7,83;10,04;1,43;7,18;3,39;6,96;8,59;0,56;4,5;3,96;2,78;9,73;2,26;4,14;4,95;23,59;0,41;3,92;5,99;2594,96;802,59;1179,18;-101,86;4474,87;1122,36;713,32;1009,32;-39,64;2805,36;1312,43;285,21;1143,79;-161,34;2580,09;1640,21;2417,57;-47,97;-279,44;3730,37
9;9;35673,81;11008,12;12885,6;6954,3;66521,83;34242,13;10920,4;12710,65;7036,39;64909,57;34439,31;10532,35;12847,19;6898,98;64717,83;35004,39;12521,99;11790,39;6808,78;66125,55;33165,95;10198,63;11740,74;7087,6;62192,92;7,56;7,94;9,75;1,88;6,96;3,24;7,08;8,26;0,72;4,37;3,84;3,27;9,42;2,66;4,06;5,54;22,78;0,42;3,93;6,32;2507,86;809,49;1144,86;-133,3;4328,91;1076,18;721,77;969,91;-51,21;2716,65;1273,36;333,72;1106,45;-188,62;2524,91;1838,44;2323,36;49,65;-278,82;3932,63
