;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;45685,84;15304,02;13938,28;7454,53;82382,67;46206,34;15237,06;14173,85;7688,15;83305,41;45645,16;14918,07;14257,84;7496,03;82317,1;42255,48;12322,27;13319,58;7431,01;75328,34
1;44266,97;14747,68;13697,2;7388,44;80100,29;44822,28;14700,41;13928,24;7647,31;81098,23;44316,27;14374,3;13997,24;7457,65;80145,46;41570,02;11998,34;13172,44;7383,55;74124,34
2;42953,57;14242,75;13461,05;7322,7;77980,07;43525,73;14212,81;13693,07;7592,66;79024,27;43051,16;13881,72;13755,6;7395,63;78084,11;40618,97;11714,44;13068,24;7343,64;72745,29
3;41833,06;13827,34;13235,21;7256,54;76152,15;42391,67;13809,49;13478,35;7515,96;77195,46;41910,89;13476,22;13546,37;7296,68;76230,17;39317,12;11303,48;12845,76;7267,86;70734,21
4;40920,8;13486,46;13026,75;7184,69;74618,7;41444,72;13470,41;13292,29;7431,21;75638,63;40945,65;13132,53;13360,96;7188,94;74628,08;38496,34;10943,47;12729,02;7189,33;69358,17
5;40205,42;13198,24;12841,51;7103,66;73348,83;40688,95;13170,2;13138,92;7352,95;74351,03;40187,84;12823,87;13188,7;7100,64;73301,05;37810,34;10959,74;12564,71;7104,92;68439,71
6;39640,91;12966,28;12678,66;7021,73;72307,58;40096,47;12917,27;13007,35;7275,65;73296,74;39609,55;12578,5;13032,77;7019,1;72239,91;37392,94;10827,51;12434,09;7045,16;67699,7
7;39190,85;12797,1;12541,48;6946,87;71476,29;39642,31;12725,06;12891,47;7192,69;72451,53;39179,64;12424,26;12902,38;6928,77;71435,05;37235,32;10752,0;12361,24;6994,79;67343,36
8;38891,91;12683,32;12456,43;6873,95;70905,61;39345,34;12593,26;12819,44;7113,29;71871,34;38914,48;12332,14;12817,18;6843,62;70907,43;37093,66;10569,4;12266,08;6937,53;66866,67
9;38786,75;12621,05;12430,21;6799,81;70637,83;39217,03;12519,16;12794,21;7048,83;71579,24;38822,33;12270,92;12772,0;6778,45;70643,7;37233,73;10423,0;12234,49;6892,28;66783,5
