Patamares;MLP;LSTM;GRU;ONS
Leve SECO;40485,76083333333;40388,78826923076;40060,11871794872;40969,094423076924
Media SECO;48173,715599999996;48146,99399999999;47705,8504;48857,01539999999
Pesada SECO;51098,26174999999;51034,497749999995;50443,936624999995;51371,913
Leve S;12875,649230769232;13235,328653846153;12742,358397435899;12990,43217948718
Media S;16322,6763;16330,4503;15691,660100000003;16440,615500000004
Pesada S;17620,4865;17423,543625;16672,222625000002;17533,53825
Leve NE;12266,01012820513;12366,505576923078;12419,93858974359;12195,31814102564
Media NE;13462,398700000002;13541,432700000005;13630,9776;13568,091699999999
Pesada NE;13795,598500000002;13778,826874999999;13875,997500000001;13702,304999999998
Leve N;7297,127884615385;7335,435769230769;7505,794038461536;6988,545384615385
Media N;7620,697099999999;7599,876900000002;7771,1093;7340,7253
Pesada N;7958,790875000001;7945,121625;8183,5065;7548,173249999998
