;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN;SECO Carga Verificada;S Carga Verificada;NE Carga Verificada;N Carga Verificada;SIN Carga Verificada;MAPE MLP Seco;MAPE MLP S;MAPE MLP NE;MAPE MLP N;MAPE MLP SIN;MAPE LSTM Seco;MAPE LSTM S;MAPE LSTM NE;MAPE LSTM N;MAPE LSTM SIN;MAPE GRU Seco;MAPE GRU S;MAPE GRU NE;MAPE GRU N;MAPE GRU SIN;MAPE ONS Seco;MAPE ONS S;MAPE ONS NE;MAPE ONS N;MAPE ONS SIN;MAE MLP Seco;MAE MLP S;MAE MLP NE;MAE MLP N;MAE MLP SIN;MAE LSTM Seco;MAE LSTM S;MAE LSTM NE;MAE LSTM N;MAE LSTM SIN;MAE GRU Seco;MAE GRU S;MAE GRU NE;MAE GRU N;MAE GRU SIN;MAE ONS Seco;MAE ONS S;MAE ONS NE;MAE ONS N;MAE ONS SIN
0;43905,95;12794,78;13514,11;7018,96;77233,8;42400,35;12919,86;13523,54;7384,6;76228,35;42360,81;12820,85;13536,45;7519,78;76237,89;43981,19;13057,04;13383,68;7256,32;77678,23;42366,84;13074,23;13205,96;7063,5;75710,53;3,63;2,14;2,33;0,63;2,01;0,08;1,18;2,4;4,55;0,68;0,01;1,94;2,5;6,46;0,7;3,81;0,13;1,35;2,73;2,6;1539,11;-279,45;308,15;-44,54;1523,27;33,51;-154,37;317,58;321,1;517,82;-6,03;-253,38;330,49;456,28;527,36;1614,35;-17,19;177,72;192,82;1967,7
1;42802,23;12378,17;13301,44;6977,95;75459,79;41374,91;12463,29;13323,72;7348,18;74510,1;41285,82;12387,32;13360,46;7444,6;74478,2;42341,98;12656,59;13183,82;7299,05;75481,44;41750,11;12644,47;13078,39;6608,78;74081,75;2,52;2,11;1,71;5,59;1,86;0,9;1,43;1,88;11,19;0,58;1,11;2,03;2,16;12,65;0,54;1,42;0,1;0,81;10,44;1,89;1052,12;-266,3;223,05;369,17;1378,04;-375,2;-181,18;245,33;739,4;428,35;-464,29;-257,15;282,07;835,82;396,45;591,87;12,12;105,43;690,27;1399,69
2;41733,66;11996,8;13093,38;6933,12;73756,96;40394,89;12062,57;13135,47;7303,5;72896,43;40312,04;11995,78;13180,84;7371,92;72860,58;41448,09;12273,05;13000,79;7283,4;74005,33;40994,14;12224,0;12965,31;6332,03;72515,48;1,8;1,86;0,99;9,49;1,71;1,46;1,32;1,31;15,34;0,53;1,66;1,87;1,66;16,42;0,48;1,11;0,4;0,27;15,02;2,05;739,52;-227,2;128,07;601,09;1241,48;-599,25;-161,43;170,16;971,47;380,95;-682,1;-228,22;215,53;1039,89;345,1;453,95;49,05;35,48;951,37;1489,85
3;40736,33;11675,3;12895,07;6881,8;72188,5;39498,48;11756,41;12967,35;7245,69;71467,93;39501,51;11675,21;12998,02;7303,2;71477,94;40650,67;11935,69;12841,74;7215,8;72643,9;40026,11;11819,99;12874,2;6347,65;71067,95;1,77;1,22;0,16;8,41;1,58;1,32;0,54;0,72;14,15;0,56;1,31;1,22;0,96;15,05;0,58;1,56;0,98;0,25;13,68;2,22;710,22;-144,69;20,87;534,15;1120,55;-527,63;-63,58;93,15;898,04;399,98;-524,6;-144,78;123,82;955,55;409,99;624,56;115,7;-32,46;868,15;1575,95
4;39850,09;11395,94;12713,79;6825,9;70785,72;38694,73;11515,02;12815,81;7183,39;70208,95;38759,46;11402,4;12828,69;7235,66;70226,21;39873,09;11635,32;12693,82;7175,06;71377,29;39038,79;11431,21;12784,53;6515,67;69770,2;2,08;0,31;0,55;4,76;1,46;0,88;0,73;0,24;10,25;0,63;0,72;0,25;0,35;11,05;0,65;2,14;1,79;0,71;10,12;2,3;811,3;-35,27;-70,74;310,23;1015,52;-344,06;83,81;31,28;667,72;438,75;-279,33;-28,81;44,16;719,99;456,01;834,3;204,11;-90,71;659,39;1607,09
5;39102,29;11137,57;12553,93;6767,73;69561,52;37985,84;11297,48;12674,17;7125,5;69082,99;38000,64;11148,25;12686,26;7166,47;69001,62;39155,23;11446,43;12567,63;7115,67;70284,96;38234,78;11062,35;12672,34;6661,15;68630,62;2,27;0,68;0,93;1,6;1,36;0,65;2,13;0,01;6,97;0,66;0,61;0,78;0,11;7,59;0,54;2,41;3,47;0,83;6,82;2,41;867,51;75,22;-118,41;106,58;930,9;-248,94;235,13;1,83;464,35;452,37;-234,14;85,9;13,92;505,32;371,0;920,45;384,08;-104,71;454,52;1654,34
6;38466,37;10907,98;12406,22;6706,88;68487,45;37375,6;11086,96;12535,24;7068,33;68066,13;37334,44;10912,21;12554,76;7096,82;67898,23;38488,5;11237,15;12433,23;7053,43;69212,31;37590,25;10750,05;12528,04;6723,6;67591,95;2,33;1,47;0,97;0,25;1,32;0,57;3,13;0,06;5,13;0,7;0,68;1,51;0,21;5,55;0,45;2,39;4,53;0,76;4,91;2,4;876,12;157,93;-121,82;-16,72;895,5;-214,65;336,91;7,2;344,73;474,18;-255,81;162,16;26,72;373,22;306,28;898,25;487,1;-94,81;329,83;1620,36
7;37915,37;10719,06;12267,76;6643,0;67545,19;36870,02;10881,76;12399,68;7007,55;67159,01;36875,68;10703,91;12421,85;7027,78;67029,22;37970,71;11036,25;12315,52;6946,72;68269,2;37042,25;10530,65;12358,46;6689,85;66621,22;2,36;1,79;0,73;0,7;1,39;0,46;3,33;0,33;4,75;0,81;0,45;1,65;0,51;5,05;0,61;2,51;4,8;0,35;3,84;2,47;873,12;188,41;-90,7;-46,85;923,97;-172,23;351,11;41,22;317,7;537,79;-166,57;173,26;63,39;337,93;408,0;928,46;505,6;-42,94;256,87;1647,98
8;37474,62;10570,17;12174,68;6578,75;66798,22;36482,42;10716,68;12299,96;6948,93;66447,99;36566,1;10545,09;12319,08;6955,93;66386,2;37623,49;10877,12;12219,04;6862,05;67581,7;36597,71;10407,11;12221,84;6621,49;65848,15;2,4;1,57;0,39;0,65;1,44;0,32;2,97;0,64;4,95;0,91;0,09;1,33;0,8;5,05;0,82;2,8;4,52;0,02;3,63;2,63;876,91;163,06;-47,16;-42,74;950,07;-115,29;309,57;78,12;327,44;599,84;-31,61;137,98;97,24;334,44;538,05;1025,78;470,01;-2,8;240,56;1733,55
9;37164,89;10456,29;12140,89;6518,42;66280,49;36204,92;10620,2;12244,1;6898,55;65967,77;36306,44;10449,92;12257,32;6880,11;65893,79;37418,29;10806,23;12163,09;6819,57;67207,18;36265,19;10358,43;12149,65;6582,35;65355,62;2,48;0,94;0,07;0,97;1,42;0,17;2,53;0,78;4,8;0,94;0,11;0,88;0,89;4,52;0,82;3,18;4,32;0,11;3,6;2,83;899,7;97,86;-8,76;-63,93;924,87;-60,27;261,77;94,45;316,2;612,15;41,25;91,49;107,67;297,76;538,17;1153,1;447,8;13,44;237,22;1851,56
