Patamares;MLP;LSTM;GRU
Leve SECO;40974,2526875;40520,14075;40145,3028125
Media SECO;47738,53250000001;47087,97104166667;46781,029270833336
Pesada SECO;53640,33899999999;52507,34825;51886,462
Leve S;12728,453;13421,865812500002;12962,4173125
Media S;15855,187291666667;16329,192916666667;15663,826666666666
Pesada S;17893,192499999997;18192,158499999998;17242,35125
Leve NE;12070,848;12197,1155;12188,731625
Media NE;13387,064270833333;13451,833541666667;13512,640208333332
Pesada NE;14041,236874999999;14056,013;14122,7435
Leve N;6889,3848125;6970,803875;7062,574374999999
Media N;7493,6125;7472,748645833333;7711,2659375
Pesada N;8054,0075;7785,555624999999;8155,234875
