;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;51871,04;15618,45;14493,63;8246,03;90229,15;49189,15;15653,26;14253,82;7995,23;87091,46;49244,45;15104,46;14372,85;8459,94;87181,71;50086,05;16380,91;14292,86;8026,23;88786,05
1;50114,67;14994,37;14198,18;8280,9;87588,11;47806,24;15099,0;13998,54;7931,92;84835,7;47903,39;14628,56;14111,99;8392,33;85036,27;48322,25;15667,41;14060,39;7928,28;85978,33
2;48525,43;14438,16;13931,96;8277,21;85172,77;46501,25;14593,91;13757,06;7857,52;82709,73;46631,94;14181,45;13867,36;8314,62;82995,37;46985,28;15097,22;13851,82;7823,02;83757,34
3;47233,84;13996,32;13713,44;8208,67;83152,27;45341,32;14174,7;13541,61;7767,22;80824,85;45488,19;13786,03;13651,77;8218,91;81144,89;45979,19;14690,92;13669,92;7721,05;82061,09
4;46223,88;13629,71;13517,96;8098,02;81469,56;44350,52;13828,24;13358,24;7681,33;79218,32;44484,25;13441,43;13464,12;8106,23;79496,02;45141,25;14330,95;13468,34;7617,52;80558,06
5;45436,3;13298,54;13320,64;7976,89;80032,37;43534,91;13534,88;13206,13;7617,28;77893,2;43622,46;13144,41;13298,4;7982,79;78048,06;44419,38;14026,37;13245,48;7519,52;79210,75
6;44785,52;13045,97;13138,83;7863,27;78833,59;42871,63;13298,78;13063,34;7555,89;76789,65;42912,13;12905,91;13142,76;7866,46;76827,26;43861,09;13783,45;13083,56;7421,8;78149,9
7;44213,24;12913,72;12998,33;7769,71;77895,01;42343,24;13126,2;12917,9;7476,52;75863,85;42366,9;12734,75;12994,35;7770,74;75866,75;43371,97;13590,88;12970,67;7337,27;77270,79
8;43796,89;12854,71;12916,64;7700,4;77268,64;41982,91;13007,83;12818,83;7389,35;75198,94;42010,71;12617,31;12892,29;7679,99;75200,31;43036,77;13456,09;12889,54;7259,06;76641,46
9;43618,45;12821,34;12886,77;7651,99;76978,56;41819,37;12940,62;12789,05;7311,29;74860,32;41848,28;12546,11;12850,41;7579,99;74824,78;42924,75;13359,68;12861,33;7212,2;76357,96
10;43642,63;12852,8;12812,14;7599,35;76906,92;41812,79;12961,81;12685,88;7255,12;74715,59;41797,09;12560,73;12739,55;7491,3;74588,67;42939,16;13381,21;12670,44;7161,49;76152,29
11;43811,6;12997,88;12607,77;7516,97;76934,22;41904,76;13094,26;12390,0;7220,67;74609,69;41771,45;12682,5;12451,54;7428,85;74334,33;43193,25;13560,7;12327,68;7140,42;76222,05
12;44094,84;13256,98;12324,76;7399,62;77076,2;42031,13;13262,79;12041,04;7159,9;74494,85;41760,19;12812,39;12105,22;7350,07;74027,88;43491,79;13702,77;12051,6;7011,02;76257,18
13;44530,84;13633,23;12060,5;7256,28;77480,84;42213,76;13429,3;11821,58;7035,64;74500,28;41842,65;12894,62;11862,39;7215,27;73814,92;43973,16;13819,56;11799,96;6807,45;76400,12
14;45406,91;14189,26;11961,38;7132,26;78689,81;42824,5;13802,24;11826,98;6902,09;75355,8;42385,55;13166,43;11829,7;7053,59;74435,27;44946,66;14347,85;11905,87;6702,49;77902,86
