Patamares;MLP;LSTM;GRU
Leve SECO;33654,0650625;33235,453625;33532,3834375
Media SECO;39868,341770833336;44080,495624999996;39311,80354166666
Pesada SECO;44396,918875;41403,939125;44207,232875
Leve S;9754,110312499999;9844,3454375;9897,2013125
Media S;12367,503020833334;11911,449999999999;11918,310104166667
Pesada S;14112,852625;13648,812875;13769,1285
Leve NE;10033,791875;9929,5038125;9868,718499999999
Media NE;11295,3571875;11131,437812499998;11107,626458333334
Pesada NE;11901,38175;11774,466;11752,078875000001
Leve N;6024,2750625;6166,5368125;6197,729625
Media N;6640,2503125;6758,033437499999;6788,093958333334
Pesada N;6999,443499999999;7093,666875;7137,360000000001
